bID,name,address,cord,numOfReview,rating,zipcode,cuisine
__548uStp_t9U7px1FmK1g,BluWater Bistro,"102 Lakeside Ave, Seattle, WA 98122","47.6018339598545, -122.284905991876",476,3,98122,italian
__548uStp_t9U7px1FmK1g,BluWater Bistro,"102 Lakeside Ave, Seattle, WA 98122","47.6018339598545, -122.284905991876",476,3,98122,american
_-_NeXw_JbBTIOEZKItwlw,Moxie's Grill & Bar,"900 S Miami Ave, Unit 161, Miami, FL 33130","25.76526032705953, -80.1937841007458",226,4.5,33130,american
_-EQR2vNYg-b1eZwAgp6JQ,Tanoreen,"7523 3rd Ave, Brooklyn, NY 11209","40.6308, -74.02775",910,4,11209,indian
_-Gb3IAx74cyka9yTOb_oA,ASSET,"329 Columbus Ave, New York, NY 10023","40.77948, -73.97705",86,4,10023,american
_0i6Kzr3TMmL_SYo77faSQ,Taj Mahal of India Restaurant,"8566 W Pico Blvd, Los Angeles, CA 90035","34.05334, -118.37772",577,4,90035,indian
_2QNPA4whF7YgfBnLE4l_w,Chifa Du Kang Chinese Peruvian Restaurant,"9899 SW 40th St, Miami, FL 33165","25.73329, -80.35541",110,3.5,33165,chinese
_2V0as8DZDwVxAi3ZJ0JkA,Raku - It's Japanese II,"57 W 76th St, New York, NY 10023","40.779997, -73.976516",344,4,10023,japanese
_2yFuoC12M9cfFxTbqCEzQ,Secret Congee,"4409 Wallingford Ave N, Seattle, WA 98103","47.66057473294908, -122.33637591274076",73,4,98103,chinese
_3wrETt6P6f41qZUYCu76w,Gan Bei,"670 S Weller St, Seattle, WA 98104","47.59768, -122.32413",68,4,98104,chinese
_4I4m0wfcdBTH2Av32E05A,Dona Paulina,"8263 SW Bird Rd, Miami, FL 33155","25.73371, -80.32875",78,4,33155,italian
_4rv6ssRb9RpYdXQZgEQOw,Spice King,"720 Lind Ave SW, Renton, WA 98057","47.47316, -122.22257",462,4,98057,indian
_5JhfxX1hh3TtRsqgztcsQ,Super Rich,"1814 W Sunset Blvd, Echo Park, CA 90026","34.077616, -118.259914",27,4,90026,japanese
_7BGw3YFNOTzP1Www3zB7g,Mughlai Grill,"6 Clinton St, New York, NY 10002","40.7210905, -73.9840446",414,4.5,10002,indian
_7Jg-PLTf0d7u_IZiJ4ISw,BarChi Sushi,"206 Colorado St, Austin, TX 78701","30.265278, -97.7454714",720,3.5,78701,japanese
_8DqDjncTG71BKK1j03cTg,Japan Cafe,"11200 Lakeline Mall Dr, Cedar Park, TX 78613","30.4706213487541, -97.8070650858663",27,2.5,78613,japanese
_99S24U4pTduqpiJOEMD8w,Terroni,"7605 Beverly Blvd, Los Angeles, CA 90036","34.0762749, -118.3555375",1213,3.5,90036,italian
_9nK5MHCqdILitnK-S6urQ,Rajdhani,"18525 Pioneer Blvd, Artesia, CA 90701","33.8630601, -118.0824125",616,4,90701,indian
_9YQR4NY43n_VuBK-UTa7Q,Piccolo - Santa Monica,"2127 Lincoln Blvd, Santa Monica, CA 90405","34.01045, -118.480364",67,5,90405,italian
_aDftia5RSSBpDLHatEfFg,Nori Sushi Bar - Lakeview,"954 W Diversey Pkwy, Chicago, IL 60614","41.932718, -87.653535",520,4,60614,japanese
_ApCaOQWaAwVGTlIKRpZng,DipDipDip Tatsu-Ya,"7301 Burnet Rd, Ste 101, Austin, TX 78757","30.348655, -97.735015",261,4,78757,chinese
_ApCaOQWaAwVGTlIKRpZng,DipDipDip Tatsu-Ya,"7301 Burnet Rd, Ste 101, Austin, TX 78757","30.348655, -97.735015",261,4,78757,japanese
_ApCaOQWaAwVGTlIKRpZng,DipDipDip Tatsu-Ya,"7301 Burnet Rd, Ste 101, Austin, TX 78757","30.348655, -97.735015",261,4,78757,american
_B3qYP-_QoHd5H6VIGy7cQ,Lali Son Fast Food,"12201 Hero Way W, Leander, TX 78641","30.57621857296172, -97.87256561760027",58,4.5,78641,indian
_b69OdBNLhysN1jFlYNQiA,The Bongo Room,"1470 N Milwaukee Ave, Chicago, IL 60622","41.90841, -87.67492",1617,4,60622,american
_CoQ7eTOpP3B-oGpip-Lpg,Omakase Yume,"651 W Washington Blvd, Ste 101, Chicago, IL 60661","41.8830608124328, -87.6445323537732",114,4.5,60661,japanese
_d5Br6nZWpBNwL-4isroJA,Yuzu Sushi & Robata Grill,"1751 W Chicago Ave, Chicago, IL 60622","41.89569, -87.67172",1760,4,60622,japanese
_dz_a3GSGZ0unVKbRFC32A,Trattoria Luna,"9477 S Dixie Hwy, Miami, FL 33156","25.6831115098397, -80.314131094165",117,4,33156,italian
_eY6prSXsl5ceyc1-qwisA,Kyoto Sushi,"696 Hwy 71 W, Ste1A, Bastrop, TX 78602","30.10989168185811, -97.34976960233342",123,4.5,78602,japanese
_f5dSB3eUmz6PE_YgHg0Qw,Mignonette,"210 NE 18th St, Miami, FL 33132","25.793323, -80.190472",692,4.5,33132,american
_FhKGcCbiYgtkXcCiwTAiA,Aburiya Kinnosuke,"213 E 45th St, New York, NY 10017","40.752583, -73.972274",761,4,10017,japanese
_GTWAPJCxu4rrhf97MPtSg,Gino's Bistro,"23917 SE Kent Kangley Rd, Maple Valley, WA 98038","47.360930537525, -122.02249334832",143,3.5,98038,italian
_hHzOXG4SRkBIND2LZf4aQ,3rd Base LA,"1562 N Cahuenga Blvd, Los Angeles, CA 90028","34.0995115, -118.32893067",175,4,90028,american
_Hig4rf_SEAhq13eBdJ4CQ,Kismat Indian Restaurant,"603 Fort Washington, MANHATTAN, NY 10040","40.8552891007756, -73.9370184099689",368,3.5,10040,indian
_hljp2lAVTCaTMGxORvybA,Sushi One,"3905 W 6th St, Los Angeles, CA 90020","34.0636449, -118.3082425",429,4,90020,japanese
_HswnCsvcvcfXIpEXFqsHw,Zuezhao Chen,"11610 N Kendall Dr, Miami, FL 33176","25.6861712, -80.3838335",1,5,33176,italian
_i1J5DhuTc4MquMSJjIQvw,Il Vicolo Trattoria,"116 Oak Park Ave, Oak Park, IL 60301","41.8880161216767, -87.7942391464117",245,4,60301,italian
_IkMfWpOkQXRZtJAYJUJIw,Hama Japanese Cuisine,"11 W 51st St, New York, NY 10019","40.7597846984863, -73.9776382446289",373,4,10019,japanese
